date,site,practice,N_pest,N_para,N_pred
2019-03-08,A,conv,0,0,0
2019-03-08,A,conv,0,0,0
2019-03-08,A,conv,0,0,0
2019-03-08,B,conv,0,0,0
2019-03-08,B,conv,0,0,0
2019-03-08,B,conv,0,0,0
2019-03-08,B,conv,0,0,0
2019-03-08,C,conv,0,0,0
2019-03-08,C,conv,0,0,0
2019-03-08,C,conv,0,0,0
2019-03-08,C,conv,0,0,0
2019-03-08,D,orga,0,0,0
2019-03-08,D,orga,0,0,0
2019-03-08,E,orga,0,0,0
2019-03-08,E,orga,0,0,0
2019-03-08,E,orga,0,0,0
2019-03-08,F,orga,0,0,0
2019-03-08,F,orga,0,0,0
2019-03-08,F,orga,0,0,0
2019-03-15,A,conv,0,0,0
2019-03-15,A,conv,0,0,0
2019-03-15,A,conv,0,0,0
2019-03-15,B,conv,0,0,0
2019-03-15,B,conv,0,0,0
2019-03-15,B,conv,0,0,0
2019-03-15,B,conv,0,0,0
2019-03-15,C,conv,0,0,0
2019-03-15,C,conv,0,0,0
2019-03-15,D,orga,0,0,0
2019-03-15,D,orga,0,0,0
2019-03-15,D,orga,0,0,0
2019-03-15,D,orga,0,0,0
2019-03-15,E,orga,0,0,0
2019-03-15,E,orga,0,0,0
2019-03-15,E,orga,0,0,0
2019-03-15,F,orga,0,0,0
2019-03-15,F,orga,0,0,0
2019-03-15,F,orga,0,0,0
2019-03-22,A,conv,0,0,0
2019-03-22,A,conv,0,0,0
2019-03-22,B,conv,0,0,0
2019-03-22,B,conv,0,0,0
2019-03-22,B,conv,0,0,0
2019-03-22,C,conv,0,0,0
2019-03-22,C,conv,0,0,0
2019-03-22,C,conv,0,0,0
2019-03-22,D,orga,0,0,0
2019-03-22,D,orga,0,0,0
2019-03-22,E,orga,0,0,0
2019-03-22,E,orga,0,0,0
2019-03-22,E,orga,0,0,0
2019-03-22,E,orga,0,0,0
2019-03-22,F,orga,0,0,0
2019-03-22,F,orga,0,0,0
2019-03-22,F,orga,0,0,0
2019-03-29,A,conv,0,0,0
2019-03-29,A,conv,0,0,0
2019-03-29,A,conv,0,0,0
2019-03-29,A,conv,0,0,0
2019-03-29,B,conv,0,0,0
2019-03-29,B,conv,0,0,0
2019-03-29,B,conv,0,0,0
2019-03-29,C,conv,0,0,0
2019-03-29,C,conv,0,0,0
2019-03-29,C,conv,0,0,0
2019-03-29,C,conv,0,0,0
2019-03-29,D,orga,0,0,0
2019-03-29,D,orga,0,0,0
2019-03-29,D,orga,0,0,0
2019-03-29,E,orga,0,0,0
2019-03-29,E,orga,0,0,0
2019-03-29,E,orga,0,0,0
2019-03-29,F,orga,0,0,0
2019-03-29,F,orga,0,0,0
2019-03-29,F,orga,0,0,0
2019-04-05,A,conv,1,2,4
2019-04-05,A,conv,3,6,1
2019-04-05,B,conv,4,2,1
2019-04-05,B,conv,5,2,4
2019-04-05,B,conv,4,2,4
2019-04-05,B,conv,5,4,3
2019-04-05,C,conv,7,3,6
2019-04-05,C,conv,6,8,6
2019-04-05,D,orga,12,7,11
2019-04-05,D,orga,6,4,11
2019-04-05,D,orga,9,3,11
2019-04-05,E,orga,5,4,6
2019-04-05,E,orga,9,4,4
2019-04-05,E,orga,8,5,5
2019-04-05,F,orga,12,11,16
2019-04-05,F,orga,13,18,15
2019-04-05,F,orga,18,15,16
2019-04-05,F,orga,21,10,19
2019-04-12,A,conv,0,2,4
2019-04-12,A,conv,2,1,2
2019-04-12,A,conv,3,0,1
2019-04-12,B,conv,2,3,1
2019-04-12,B,conv,1,2,5
2019-04-12,B,conv,3,0,3
2019-04-12,C,conv,4,3,4
2019-04-12,C,conv,3,4,5
2019-04-12,D,orga,8,10,3
2019-04-12,D,orga,6,9,1
2019-04-12,D,orga,3,11,10
2019-04-12,E,orga,2,2,4
2019-04-12,E,orga,6,2,4
2019-04-12,E,orga,5,5,4
2019-04-12,F,orga,8,9,11
2019-04-12,F,orga,8,13,6
2019-04-12,F,orga,8,9,12
2019-04-19,A,conv,1,1,1
2019-04-19,A,conv,1,1,1
2019-04-19,A,conv,0,1,0
2019-04-19,B,conv,4,4,1
2019-04-19,B,conv,3,1,4
2019-04-19,B,conv,1,3,0
2019-04-19,C,conv,13,3,6
2019-04-19,C,conv,5,3,5
2019-04-19,C,conv,4,3,6
2019-04-19,C,conv,8,2,3
2019-04-19,D,orga,9,4,7
2019-04-19,D,orga,5,7,3
2019-04-19,D,orga,6,7,7
2019-04-19,D,orga,7,7,9
2019-04-19,E,orga,9,2,8
2019-04-19,E,orga,6,2,4
2019-04-19,E,orga,10,7,3
2019-04-19,E,orga,7,2,1
2019-04-19,F,orga,8,12,7
2019-04-19,F,orga,24,5,14
2019-04-19,F,orga,15,5,12
2019-04-19,F,orga,12,9,9
2019-04-26,A,conv,8,2,2
2019-04-26,A,conv,3,2,1
2019-04-26,A,conv,6,0,1
2019-04-26,B,conv,4,1,2
2019-04-26,B,conv,6,3,3
2019-04-26,B,conv,10,1,2
2019-04-26,B,conv,3,2,2
2019-04-26,C,conv,9,2,2
2019-04-26,C,conv,3,1,6
2019-04-26,C,conv,6,3,2
2019-04-26,D,orga,7,7,3
2019-04-26,D,orga,19,5,3
2019-04-26,E,orga,9,5,5
2019-04-26,E,orga,11,5,1
2019-04-26,E,orga,8,1,1
2019-04-26,E,orga,7,2,1
2019-04-26,F,orga,16,6,4
2019-04-26,F,orga,24,6,12
2019-04-26,F,orga,19,11,13
2019-05-03,A,conv,8,2,2
2019-05-03,A,conv,4,4,1
2019-05-03,A,conv,2,4,1
2019-05-03,B,conv,7,1,3
